    | Name                                                | Type               | Params
---------------------------------------------------------------------------------------------
0   | res_model                                           | Resnet1d           | 486 K 
1   | res_model.criterion                                 | MSELoss            | 0     
2   | res_model.model                                     | ResNet1D           | 486 K 
3   | res_model.model.first_block_conv                    | MyConv1dPadSame    | 192   
4   | res_model.model.first_block_conv.conv               | Conv1d             | 192   
5   | res_model.model.first_block_bn                      | BatchNorm1d        | 64    
6   | res_model.model.first_block_relu                    | ReLU               | 0     
7   | res_model.model.first_block_maxpool                 | MyMaxPool1dPadSame | 0     
8   | res_model.model.first_block_maxpool.max_pool        | MaxPool1d          | 0     
9   | res_model.model.basicblock_list                     | ModuleList         | 485 K 
10  | res_model.model.basicblock_list.0                   | BasicBlock         | 3.5 K 
11  | res_model.model.basicblock_list.0.bn1               | BatchNorm1d        | 64    
12  | res_model.model.basicblock_list.0.relu1             | ReLU               | 0     
13  | res_model.model.basicblock_list.0.do1               | Dropout            | 0     
14  | res_model.model.basicblock_list.0.conv1             | MyConv1dPadSame    | 1.6 K 
15  | res_model.model.basicblock_list.0.conv1.conv        | Conv1d             | 1.6 K 
16  | res_model.model.basicblock_list.0.bn2               | BatchNorm1d        | 64    
17  | res_model.model.basicblock_list.0.relu2             | ReLU               | 0     
18  | res_model.model.basicblock_list.0.do2               | Dropout            | 0     
19  | res_model.model.basicblock_list.0.conv2             | MyConv1dPadSame    | 1.6 K 
20  | res_model.model.basicblock_list.0.conv2.conv        | Conv1d             | 1.6 K 
21  | res_model.model.basicblock_list.0.max_pool          | MyMaxPool1dPadSame | 0     
22  | res_model.model.basicblock_list.0.max_pool.max_pool | MaxPool1d          | 0     
23  | res_model.model.basicblock_list.0.se                | SE_Block           | 256   
24  | res_model.model.basicblock_list.0.se.squeeze        | AdaptiveAvgPool1d  | 0     
25  | res_model.model.basicblock_list.0.se.excitation     | Sequential         | 256   
26  | res_model.model.basicblock_list.0.se.excitation.0   | Linear             | 128   
27  | res_model.model.basicblock_list.0.se.excitation.1   | ReLU               | 0     
28  | res_model.model.basicblock_list.0.se.excitation.2   | Linear             | 128   
29  | res_model.model.basicblock_list.0.se.excitation.3   | Sigmoid            | 0     
30  | res_model.model.basicblock_list.1                   | BasicBlock         | 3.5 K 
31  | res_model.model.basicblock_list.1.bn1               | BatchNorm1d        | 64    
32  | res_model.model.basicblock_list.1.relu1             | ReLU               | 0     
33  | res_model.model.basicblock_list.1.do1               | Dropout            | 0     
34  | res_model.model.basicblock_list.1.conv1             | MyConv1dPadSame    | 1.6 K 
35  | res_model.model.basicblock_list.1.conv1.conv        | Conv1d             | 1.6 K 
36  | res_model.model.basicblock_list.1.bn2               | BatchNorm1d        | 64    
37  | res_model.model.basicblock_list.1.relu2             | ReLU               | 0     
38  | res_model.model.basicblock_list.1.do2               | Dropout            | 0     
39  | res_model.model.basicblock_list.1.conv2             | MyConv1dPadSame    | 1.6 K 
40  | res_model.model.basicblock_list.1.conv2.conv        | Conv1d             | 1.6 K 
41  | res_model.model.basicblock_list.1.max_pool          | MyMaxPool1dPadSame | 0     
42  | res_model.model.basicblock_list.1.max_pool.max_pool | MaxPool1d          | 0     
43  | res_model.model.basicblock_list.1.se                | SE_Block           | 256   
44  | res_model.model.basicblock_list.1.se.squeeze        | AdaptiveAvgPool1d  | 0     
45  | res_model.model.basicblock_list.1.se.excitation     | Sequential         | 256   
46  | res_model.model.basicblock_list.1.se.excitation.0   | Linear             | 128   
47  | res_model.model.basicblock_list.1.se.excitation.1   | ReLU               | 0     
48  | res_model.model.basicblock_list.1.se.excitation.2   | Linear             | 128   
49  | res_model.model.basicblock_list.1.se.excitation.3   | Sigmoid            | 0     
50  | res_model.model.basicblock_list.2                   | BasicBlock         | 10.0 K
51  | res_model.model.basicblock_list.2.bn1               | BatchNorm1d        | 64    
52  | res_model.model.basicblock_list.2.relu1             | ReLU               | 0     
53  | res_model.model.basicblock_list.2.do1               | Dropout            | 0     
54  | res_model.model.basicblock_list.2.conv1             | MyConv1dPadSame    | 3.1 K 
55  | res_model.model.basicblock_list.2.conv1.conv        | Conv1d             | 3.1 K 
56  | res_model.model.basicblock_list.2.bn2               | BatchNorm1d        | 128   
57  | res_model.model.basicblock_list.2.relu2             | ReLU               | 0     
