    | Name                                      | Type               | Params
-----------------------------------------------------------------------------------
0   | criterion                                 | MSELoss            | 0     
1   | model                                     | ResNet1D           | 486 K 
2   | model.first_block_conv                    | MyConv1dPadSame    | 192   
3   | model.first_block_conv.conv               | Conv1d             | 192   
4   | model.first_block_bn                      | BatchNorm1d        | 64    
5   | model.first_block_relu                    | ReLU               | 0     
6   | model.first_block_maxpool                 | MyMaxPool1dPadSame | 0     
7   | model.first_block_maxpool.max_pool        | MaxPool1d          | 0     
8   | model.basicblock_list                     | ModuleList         | 485 K 
9   | model.basicblock_list.0                   | BasicBlock         | 3.5 K 
10  | model.basicblock_list.0.bn1               | BatchNorm1d        | 64    
11  | model.basicblock_list.0.relu1             | ReLU               | 0     
12  | model.basicblock_list.0.do1               | Dropout            | 0     
13  | model.basicblock_list.0.conv1             | MyConv1dPadSame    | 1.6 K 
14  | model.basicblock_list.0.conv1.conv        | Conv1d             | 1.6 K 
15  | model.basicblock_list.0.bn2               | BatchNorm1d        | 64    
16  | model.basicblock_list.0.relu2             | ReLU               | 0     
17  | model.basicblock_list.0.do2               | Dropout            | 0     
18  | model.basicblock_list.0.conv2             | MyConv1dPadSame    | 1.6 K 
19  | model.basicblock_list.0.conv2.conv        | Conv1d             | 1.6 K 
20  | model.basicblock_list.0.max_pool          | MyMaxPool1dPadSame | 0     
21  | model.basicblock_list.0.max_pool.max_pool | MaxPool1d          | 0     
22  | model.basicblock_list.0.se                | SE_Block           | 256   
23  | model.basicblock_list.0.se.squeeze        | AdaptiveAvgPool1d  | 0     
24  | model.basicblock_list.0.se.excitation     | Sequential         | 256   
25  | model.basicblock_list.0.se.excitation.0   | Linear             | 128   
26  | model.basicblock_list.0.se.excitation.1   | ReLU               | 0     
27  | model.basicblock_list.0.se.excitation.2   | Linear             | 128   
28  | model.basicblock_list.0.se.excitation.3   | Sigmoid            | 0     
29  | model.basicblock_list.1                   | BasicBlock         | 3.5 K 
30  | model.basicblock_list.1.bn1               | BatchNorm1d        | 64    
31  | model.basicblock_list.1.relu1             | ReLU               | 0     
32  | model.basicblock_list.1.do1               | Dropout            | 0     
33  | model.basicblock_list.1.conv1             | MyConv1dPadSame    | 1.6 K 
34  | model.basicblock_list.1.conv1.conv        | Conv1d             | 1.6 K 
35  | model.basicblock_list.1.bn2               | BatchNorm1d        | 64    
36  | model.basicblock_list.1.relu2             | ReLU               | 0     
37  | model.basicblock_list.1.do2               | Dropout            | 0     
38  | model.basicblock_list.1.conv2             | MyConv1dPadSame    | 1.6 K 
39  | model.basicblock_list.1.conv2.conv        | Conv1d             | 1.6 K 
40  | model.basicblock_list.1.max_pool          | MyMaxPool1dPadSame | 0     
41  | model.basicblock_list.1.max_pool.max_pool | MaxPool1d          | 0     
42  | model.basicblock_list.1.se                | SE_Block           | 256   
43  | model.basicblock_list.1.se.squeeze        | AdaptiveAvgPool1d  | 0     
44  | model.basicblock_list.1.se.excitation     | Sequential         | 256   
45  | model.basicblock_list.1.se.excitation.0   | Linear             | 128   
46  | model.basicblock_list.1.se.excitation.1   | ReLU               | 0     
47  | model.basicblock_list.1.se.excitation.2   | Linear             | 128   
48  | model.basicblock_list.1.se.excitation.3   | Sigmoid            | 0     
49  | model.basicblock_list.2                   | BasicBlock         | 10.0 K
50  | model.basicblock_list.2.bn1               | BatchNorm1d        | 64    
51  | model.basicblock_list.2.relu1             | ReLU               | 0     
