method,source,target,spdp_mean,spdp_std
zeroshot,bcg,bcg,27.5,20.8
fullfinetuning,bcg,ppgbp,24.77,1.54
linearprobing,bcg,ppgbp,25.58,1.5
scratch,bcg,ppgbp,24.51,1.53
zeroshot,bcg,ppgbp,36.72,15.86
fullfinetuning,bcg,sensors,25.34,1.86
linearprobing,bcg,sensors,26.81,4.7
scratch,bcg,sensors,25.71,2.78
zeroshot,bcg,sensors,30.06,13.13
fullfinetuning,ppgbp,bcg,16.04,3.16
linearprobing,ppgbp,bcg,17.92,4.02
scratch,ppgbp,bcg,17.69,2.83
zeroshot,ppgbp,bcg,30.76,21.83
zeroshot,ppgbp,ppgbp,30.85,21.14
fullfinetuning,ppgbp,sensors,25.58,2.66
linearprobing,ppgbp,sensors,24.76,2.75
scratch,ppgbp,sensors,25.24,2.77
zeroshot,ppgbp,sensors,34.21,13.28
fullfinetuning,sensors,bcg,16.76,4.71
linearprobing,sensors,bcg,16.57,3.82
scratch,sensors,bcg,17.92,2.22
zeroshot,sensors,bcg,17.38,6.54
fullfinetuning,sensors,ppgbp,24.43,1.37
linearprobing,sensors,ppgbp,24.99,2.12
scratch,sensors,ppgbp,24.68,1.37
zeroshot,sensors,ppgbp,24.89,0.88
zeroshot,sensors,sensors,22.82,1.19
