source,target,method,sbp_g0,sbp_g1,sbp_g2,sbp_g3,dbp_g0,dbp_g1,dbp_g2,dbp_g3
bcg,bcg,zeroshot,20.2 \pm 11.75,13.47 \pm 10.1,17.94 \pm 16.23,41.24 \pm 16.02,9.76 \pm 0.26,8.73 \pm 6.43,11.53 \pm 5.18,15.59 \pm 9.49
bcg,ppgbp,fullfinetuning,39.65 \pm 3.61,14.51 \pm 3.47,8.24 \pm 2.15,32.89 \pm 3.91,23.06 \pm 4.14,7.11 \pm 0.37,6.32 \pm 0.48,14.08 \pm 1.78
bcg,ppgbp,linearprobing,39.76 \pm 6.4,13.31 \pm 4.32,10.37 \pm 3.38,35.03 \pm 6.74,22.83 \pm 5.4,7.75 \pm 1.42,6.84 \pm 0.37,14.09 \pm 2.85
bcg,ppgbp,scratch,40.84 \pm 2.94,15.31 \pm 1.74,7.51 \pm 1.35,31.73 \pm 3.83,22.95 \pm 5.77,6.57 \pm 0.93,6.42 \pm 0.6,14.65 \pm 1.55
bcg,ppgbp,zeroshot,31.81 \pm 3.36,12.3 \pm 6.23,18.57 \pm 11.5,44.54 \pm 12.09,13.44 \pm 8.51,8.85 \pm 5.5,13.79 \pm 6.71,25.23 \pm 6.9
bcg,sensors,fullfinetuning,35.01 \pm 1.7,13.96 \pm 2.07,8.17 \pm 1.26,33.94 \pm 2.61,7.37 \pm 1.67,5.59 \pm 0.54,6.48 \pm 0.26,11.39 \pm 0.97
bcg,sensors,linearprobing,35.06 \pm 10.07,15.09 \pm 9.11,12.29 \pm 4.88,35.19 \pm 10.79,9.09 \pm 3.05,6.59 \pm 1.63,6.92 \pm 0.44,11.32 \pm 1.8
bcg,sensors,scratch,34.65 \pm 4.02,14.28 \pm 2.94,8.87 \pm 1.5,33.49 \pm 4.16,7.0 \pm 1.51,5.38 \pm 0.59,6.53 \pm 0.19,11.61 \pm 1.56
bcg,sensors,zeroshot,31.77 \pm 14.7,17.57 \pm 1.85,13.36 \pm 13.63,37.95 \pm 13.99,13.33 \pm 6.01,10.82 \pm 3.53,9.56 \pm 2.06,11.41 \pm 3.02
ppgbp,bcg,fullfinetuning,37.93 \pm 9.26,11.49 \pm 2.47,6.47 \pm 2.13,24.05 \pm 6.61,15.79 \pm 5.84,6.0 \pm 2.28,7.42 \pm 0.7,8.94 \pm 3.67
