source,target,method,spdp_mean_g0,spdp_mean_g1,spdp_mean_g2,spdp_mean_g3,spdp_std_g0,spdp_std_g1,spdp_std_g2,spdp_std_g3
bcg,bcg,zeroshot,28.57,19.62,27.86,56.62,13.76,17.55,21.93,25.17
bcg,ppgbp,fullfinetuning,62.71,21.02,11.91,46.25,2.32,3.5,2.37,5.4
bcg,ppgbp,linearprobing,62.59,19.94,13.87,48.01,4.01,5.28,3.02,9.83
bcg,ppgbp,scratch,63.79,20.95,11.32,45.83,3.15,2.14,1.48,4.93
bcg,ppgbp,zeroshot,45.25,17.41,31.62,69.78,5.41,13.39,18.5,18.76
bcg,sensors,fullfinetuning,42.38,17.82,11.21,42.87,2.57,2.59,1.22,3.21
bcg,sensors,linearprobing,44.07,19.37,13.57,43.25,9.77,8.62,4.71,11.21
bcg,sensors,scratch,41.48,17.88,12.1,42.73,5.15,3.28,1.66,5.8
bcg,sensors,zeroshot,44.62,28.09,17.71,42.4,20.85,2.42,16.84,20.48
ppgbp,bcg,fullfinetuning,53.72,15.59,10.94,31.5,11.76,3.51,2.15,10.58
ppgbp,bcg,linearprobing,50.42,13.97,15.73,38.37,5.07,2.04,2.89,9.63
ppgbp,bcg,scratch,46.67,16.89,12.37,34.62,8.79,4.22,3.17,11.53
ppgbp,bcg,zeroshot,24.51,22.63,34.96,51.59,7.56,19.12,21.07,30.32
ppgbp,ppgbp,zeroshot,61.49,24.22,24.03,48.68,15.13,12.52,24.55,31.92
ppgbp,sensors,fullfinetuning,42.0,17.36,11.73,43.28,4.0,3.73,2.01,5.67
ppgbp,sensors,linearprobing,44.76,20.16,11.02,39.4,4.77,4.53,1.03,7.02
ppgbp,sensors,scratch,46.59,20.97,11.47,39.38,7.28,5.71,1.17,8.52
ppgbp,sensors,zeroshot,52.29,34.18,25.65,40.97,24.87,7.41,15.22,23.86
sensors,bcg,fullfinetuning,57.3,14.93,11.25,31.0,9.63,3.35,1.48,16.18
sensors,bcg,linearprobing,47.08,14.21,12.78,27.59,6.62,4.7,4.36,11.73
sensors,bcg,scratch,52.63,17.03,12.86,32.08,7.79,5.43,5.29,11.49
sensors,bcg,zeroshot,46.7,12.07,15.52,39.55,7.3,2.16,5.74,10.82
sensors,ppgbp,fullfinetuning,66.64,23.89,10.46,42.41,2.68,3.09,1.99,7.26
sensors,ppgbp,linearprobing,57.64,16.64,14.16,49.99,3.41,2.0,2.47,7.28
sensors,ppgbp,scratch,61.66,18.33,12.57,48.64,1.12,1.8,1.14,4.46
sensors,ppgbp,zeroshot,62.05,25.34,12.19,39.76,10.25,2.16,0.48,5.47
sensors,sensors,zeroshot,59.2,36.76,15.75,19.18,2.51,2.66,1.7,2.76
