source,target,method,sbp_g0,sbp_g1,sbp_g2,sbp_g3,dbp_g0,dbp_g1,dbp_g2,dbp_g3
bcg,ppgbp,fullfinetuning,41.83 \pm 6.07,16.27 \pm 4.84,7.92 \pm 1.81,30.89 \pm 5.33,22.59 \pm 5.76,7.16 \pm 1.7,6.56 \pm 0.65,14.27 \pm 1.7
bcg,ppgbp,linearprobing,38.41 \pm 8.22,16.55 \pm 5.56,9.7 \pm 3.56,31.6 \pm 4.6,21.15 \pm 2.97,7.34 \pm 2.12,7.54 \pm 1.3,15.26 \pm 3.79
bcg,ppgbp,scratch,38.34 \pm 5.26,13.42 \pm 1.3,8.33 \pm 1.76,33.59 \pm 3.46,22.37 \pm 4.16,6.47 \pm 1.13,6.38 \pm 0.58,14.62 \pm 1.96
bcg,ppgbp,zeroshot,31.81 \pm 3.36,12.35 \pm 6.36,18.86 \pm 11.45,44.54 \pm 12.09,13.44 \pm 8.51,8.86 \pm 5.46,13.95 \pm 6.7,25.23 \pm 6.9
bcg,sensors,fullfinetuning,33.95 \pm 2.99,12.55 \pm 2.43,9.88 \pm 2.36,36.09 \pm 3.57,7.17 \pm 1.1,5.29 \pm 0.54,6.41 \pm 0.24,11.55 \pm 1.19
bcg,sensors,linearprobing,40.47 \pm 5.95,18.24 \pm 5.63,8.02 \pm 1.77,30.79 \pm 5.86,14.34 \pm 2.97,10.51 \pm 2.2,8.18 \pm 1.23,9.9 \pm 0.84
bcg,sensors,scratch,34.07 \pm 2.83,12.8 \pm 1.9,9.43 \pm 2.31,35.42 \pm 3.24,7.66 \pm 1.23,5.59 \pm 0.3,6.39 \pm 0.2,11.25 \pm 0.94
bcg,sensors,zeroshot,31.77 \pm 14.7,17.59 \pm 1.86,13.38 \pm 13.62,37.95 \pm 13.99,13.33 \pm 6.01,10.81 \pm 3.52,9.55 \pm 2.06,11.41 \pm 3.02
ppgbp,bcg,fullfinetuning,32.88 \pm 4.72,10.65 \pm 4.92,10.41 \pm 2.3,27.97 \pm 4.0,12.99 \pm 5.18,5.51 \pm 1.38,8.17 \pm 1.29,10.1 \pm 4.64
ppgbp,bcg,linearprobing,35.65 \pm 2.54,11.14 \pm 6.12,11.15 \pm 3.29,28.39 \pm 3.21,14.63 \pm 8.55,6.66 \pm 1.86,8.22 \pm 1.92,10.0 \pm 5.17
ppgbp,bcg,scratch,32.99 \pm 9.42,9.63 \pm 3.93,10.81 \pm 3.34,29.15 \pm 4.29,12.49 \pm 3.28,5.27 \pm 1.11,7.72 \pm 1.17,10.38 \pm 3.42
ppgbp,bcg,zeroshot,24.16 \pm 12.03,15.3 \pm 4.09,26.52 \pm 11.2,42.52 \pm 19.75,14.72 \pm 3.4,5.99 \pm 1.35,9.2 \pm 2.06,10.53 \pm 6.48
ppgbp,sensors,fullfinetuning,35.26 \pm 2.03,13.65 \pm 1.72,9.18 \pm 1.5,34.97 \pm 2.99,8.27 \pm 1.27,5.88 \pm 0.64,6.37 \pm 0.19,11.1 \pm 1.28
ppgbp,sensors,linearprobing,37.04 \pm 4.08,15.68 \pm 3.73,8.66 \pm 0.64,32.77 \pm 3.89,6.75 \pm 2.38,5.4 \pm 1.32,6.87 \pm 0.42,12.2 \pm 1.66
ppgbp,sensors,scratch,39.59 \pm 5.7,16.81 \pm 3.32,10.0 \pm 1.26,30.42 \pm 4.55,8.23 \pm 3.51,5.76 \pm 1.43,6.7 \pm 0.47,11.49 \pm 1.49
ppgbp,sensors,zeroshot,34.56 \pm 15.89,21.6 \pm 4.39,19.58 \pm 14.25,37.73 \pm 18.12,18.08 \pm 8.35,13.96 \pm 5.15,11.02 \pm 1.78,11.41 \pm 1.84
sensors,bcg,fullfinetuning,29.75 \pm 6.99,7.35 \pm 2.4,11.72 \pm 1.98,32.2 \pm 6.28,11.47 \pm 4.8,5.51 \pm 1.46,8.35 \pm 1.33,11.73 \pm 5.55
sensors,bcg,linearprobing,36.41 \pm 9.96,9.88 \pm 3.21,9.0 \pm 1.55,25.83 \pm 10.57,12.63 \pm 5.33,5.65 \pm 1.77,8.16 \pm 1.17,11.22 \pm 5.85
sensors,bcg,scratch,31.06 \pm 8.54,8.47 \pm 2.09,11.23 \pm 3.67,30.59 \pm 5.18,11.96 \pm 2.05,6.11 \pm 1.55,8.74 \pm 1.35,11.12 \pm 2.14
sensors,bcg,zeroshot,25.22 \pm 9.25,6.23 \pm 0.95,17.91 \pm 1.77,37.45 \pm 6.8,2.86 \pm 0.61,9.65 \pm 2.46,14.52 \pm 1.66,19.81 \pm 3.81
sensors,ppgbp,fullfinetuning,38.15 \pm 4.53,13.82 \pm 3.01,7.94 \pm 0.95,33.32 \pm 3.3,19.71 \pm 6.1,5.62 \pm 0.64,7.03 \pm 0.74,15.87 \pm 2.27
sensors,ppgbp,linearprobing,39.71 \pm 6.29,15.51 \pm 2.91,8.31 \pm 1.23,31.5 \pm 3.59,21.87 \pm 4.01,6.64 \pm 1.07,6.7 \pm 0.38,14.61 \pm 2.11
sensors,ppgbp,scratch,40.41 \pm 5.32,15.26 \pm 1.7,7.26 \pm 1.04,31.75 \pm 3.57,21.22 \pm 5.8,6.59 \pm 1.32,6.7 \pm 0.64,15.14 \pm 1.7
sensors,ppgbp,zeroshot,52.05 \pm 9.4,29.77 \pm 1.77,10.2 \pm 2.19,17.66 \pm 3.17,10.0 \pm 3.02,7.26 \pm 0.96,12.9 \pm 0.57,23.6 \pm 2.96
