source,target,method,spdp_mean_g0,spdp_mean_g1,spdp_mean_g2,spdp_mean_g3,spdp_std_g0,spdp_std_g1,spdp_std_g2,spdp_std_g3
bcg,ppgbp,fullfinetuning,64.42,22.25,11.34,44.54,1.73,3.66,1.21,5.09
bcg,ppgbp,linearprobing,59.55,21.97,14.49,45.77,7.95,7.2,2.4,7.59
bcg,ppgbp,scratch,60.7,19.06,11.9,47.6,3.84,2.4,1.89,5.58
bcg,ppgbp,zeroshot,45.25,17.54,32.06,69.78,5.41,13.46,18.45,18.76
bcg,sensors,fullfinetuning,41.12,16.15,12.66,45.54,2.83,2.24,2.04,4.5
bcg,sensors,linearprobing,54.8,28.32,10.91,33.98,7.28,6.49,1.09,7.13
bcg,sensors,scratch,41.73,16.84,11.89,44.2,2.8,1.72,1.72,4.12
bcg,sensors,zeroshot,44.62,28.09,17.72,42.4,20.85,2.42,16.84,20.48
ppgbp,bcg,fullfinetuning,45.87,13.39,15.53,37.94,2.6,4.58,2.21,4.27
ppgbp,bcg,linearprobing,50.28,15.35,15.75,37.61,8.63,5.9,4.27,6.63
ppgbp,bcg,scratch,45.48,12.03,15.39,39.35,7.61,3.19,3.74,4.31
ppgbp,bcg,zeroshot,38.88,18.09,33.74,52.94,11.78,6.12,12.84,24.6
ppgbp,sensors,fullfinetuning,43.53,18.21,11.64,43.33,3.26,2.59,1.46,4.79
ppgbp,sensors,linearprobing,43.74,18.77,11.67,42.75,3.45,2.79,1.08,4.37
ppgbp,sensors,scratch,47.75,20.56,13.2,39.48,7.72,3.88,1.28,6.02
ppgbp,sensors,zeroshot,52.29,34.18,25.65,40.97,24.87,7.42,15.22,23.86
sensors,bcg,fullfinetuning,41.22,9.63,17.33,43.72,4.56,1.96,1.39,10.35
sensors,bcg,linearprobing,49.04,12.11,13.99,35.97,7.5,2.04,2.06,16.15
sensors,bcg,scratch,43.03,11.77,16.94,40.94,6.49,2.75,5.86,4.66
sensors,bcg,zeroshot,26.99,12.58,32.19,57.26,7.13,2.81,3.46,9.25
sensors,ppgbp,fullfinetuning,57.86,17.8,12.45,48.93,2.54,2.12,1.91,5.18
sensors,ppgbp,linearprobing,61.58,21.2,12.38,45.4,2.3,3.03,1.6,5.77
sensors,ppgbp,scratch,61.63,20.49,11.32,46.33,3.73,2.17,0.78,4.46
sensors,ppgbp,zeroshot,62.05,25.2,12.22,39.76,10.25,2.12,0.53,5.47
